Checklist	ERC000011	ENA default sample checklist											
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)	dev_stage	tissue_type	collected_by	geographic location (region and locality)	identified by	sex	culture_collection
200917	Acanthoscelides obtectus	AobtHiC	HiC assembly of Acanthoscelides obtectus	We used a single sample of live male A. obtectus from an isogenic reference laboratory line for Hi-C sequencing.	2020-08	Serbia	Adult males	Whole body	Göran Arnqvist, Uppsala University	Belgrade, Serbia	Göran Arnqvist	male	Uppsala University
