# Checklist	ERC000053	Tree of Life Checklist															
tax_id	scientific_name	sample_alias	sample_title	sample_description	organism part	lifestage	project name	collected_by	collection date	geographic location (latitude)	geographic location (longitude)	geographic location (region and locality)	identified_by	habitat	sex	geographic location (country and/or sea)	collecting institution
# Taxonomy ID of the organism as in the  NCBI Taxonomy database. Entries in the NCBI Taxonomy database have integer taxon IDs. See our tips for sample taxonomy here	Scientific name of the organism as in the  NCBI Taxonomy database. Scientific names typically follow the binomial nomenclature. For example, the scientific name for humans is Homo sapiens.	Unique name of the sample. If not selected system will auto generate an unique alias	Title of the sample	Description of the sample	The part of organism's anatomy or substance arising from an organism from which the biomaterial was derived, excludes cells.	The age class or life stage of the organism at the time of collection.	Name of the project within which the sequencing was organized	Name of persons or institute who collected the specimen	The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008.	Collection coordinate in decimal grades	Collection coordinate in decimal grades	The geographical origin of the sample as defined by the specific region name followed by the locality name.		Description of the location of the sample material. please use EnvO terms where possible: https://www.ebi.ac.uk/ols/ontologies/envo	Sex of the organism from which the sample was obtained	The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html).	
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755387	P_trochilus_SI-2304-1755387	Blood drawn from living, field caught specimen SI-2304-1755387	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-10	63.18435	12.37328	Jämtland, Ånn	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755419	P_trochilus_SI-2304-1755419	Blood drawn from living, field caught specimen SI-2304-1755419	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-12	63.70708	12.36006	Jämtland, Anjan	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755422	P_trochilus_SI-2304-1755422	Blood drawn from living, field caught specimen SI-2304-1755422	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-12	63.70608	12.35617	Jämtland, Anjan	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755426	P_trochilus_SI-2304-1755426	Blood drawn from living, field caught specimen SI-2304-1755426	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-18	63.43858	14.82981	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755427	P_trochilus_SI-2304-1755427	Blood drawn from living, field caught specimen SI-2304-1755427	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-17	63.43937	14.83079	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755432	P_trochilus_SI-2304-1755432	Blood drawn from living, field caught specimen SI-2304-1755432	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-15	63.43097	14.85086	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755433	P_trochilus_SI-2304-1755433	Blood drawn from living, field caught specimen SI-2304-1755433	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-18	63.42916	14.89731	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-1755435	P_trochilus_SI-2304-1755435	Blood drawn from living, field caught specimen SI-2304-1755435	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-16	63.45906	14.85284	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94700	P_trochilus_SI-2304-DA94700	Blood drawn from living, field caught specimen SI-2304-DA94700	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-22	61.70182	17.39491	Hälsingland, Hornslandet	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94725	P_trochilus_SI-2304-DA94725	Blood drawn from living, field caught specimen SI-2304-DA94725	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-21	61.87397	17.30109	Hälsingland, Strömsbruk	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94732	P_trochilus_SI-2304-DA94732	Blood drawn from living, field caught specimen SI-2304-DA94732	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-28	62.09658	17.43535	Hälsingland, Gnarp	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94737	P_trochilus_SI-2304-DA94737	Blood drawn from living, field caught specimen SI-2304-DA94737	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-25	62.0954	17.43912	Hälsingland, Gnarp	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94751	P_trochilus_SI-2304-DA94751	Blood drawn from living, field caught specimen SI-2304-DA94751	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-20	62.08331	17.42826	Hälsingland, Gnarp	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94760	P_trochilus_SI-2304-DA94760	Blood drawn from living, field caught specimen SI-2304-DA94760	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-28	62.033	14.41329	Härjedalen, Sveg	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94774	P_trochilus_SI-2304-DA94774	Blood drawn from living, field caught specimen SI-2304-DA94774	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-28	62.033	14.41903	Härjedalen, Sveg	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94776	P_trochilus_SI-2304-DA94776	Blood drawn from living, field caught specimen SI-2304-DA94776	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-05-28	62.03557	14.41274	Härjedalen, Sveg	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94786	P_trochilus_SI-2304-DA94786	Blood drawn from living, field caught specimen SI-2304-DA94786	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-04	62.47337	14.01134	Härjedalen, Vemdalsskalet	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94796	P_trochilus_SI-2304-DA94796	Blood drawn from living, field caught specimen SI-2304-DA94796	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-02	62.47664	14.00154	Härjedalen, Vemdalsskalet	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94804	P_trochilus_SI-2304-DA94804	Blood drawn from living, field caught specimen SI-2304-DA94804	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-12	65.66575	22.07758	Norrbotten, Rutvik	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94831	P_trochilus_SI-2304-DA94831	Blood drawn from living, field caught specimen SI-2304-DA94831	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-15	66.09843	22.78645	Norrbotten, Övermojärv	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
