center	scientific_name	tolid	common_names	biosample_accession	sample_tube_or_well_id	sample_coordinator	recipe	aim	locus_tag	alt_assembly	alt_annotation	instrument	library_selection	library_strategy	library_name	exp_attr	lib_attr	insert_size	yield	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	native_file_name	native_file_md5	file_name	file_md5				
SCILIFELAB	Ophryotrocha puerilis	wjOphPuer20	-	ERS29404660	FS38820316_FS38820317	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE032-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE032-2A_S52_L002_R1_001.fastq.gz	83108c1853b8d81ac9fc0232e8a8f09d	YF-4364-RE032-2A_S52_L002_R2_001.fastq.gz	a30824e1ebb5c5e6c8fa1b06c5992bbc								
SCILIFELAB	Ophryotrocha puerilis	wjOphPuer20	-	ERS29404660	FS38820316_FS38820317	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE032-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE032-2A_S7_L001_R1_001.fastq.gz	bae1e41b3544791f8ee1c1bac2d24edc	YF-4364-RE032-2A_S7_L001_R2_001.fastq.gz	363b7cf44de08e6c0d712d47e1548e60								
SCILIFELAB	Eumannia arenbergeri	ilEumAren11	-	SAMEA116299549	LV6000912183	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE069-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE069-1A_S43_L001_R1_001.fastq.gz	955d1429d2ab46133d253bd85c16f12b	YF-4364-RE069-1A_S43_L001_R2_001.fastq.gz	3d04ea0d643efb1daa40f4af93b9c571								
SCILIFELAB	Eumannia arenbergeri	ilEumAren11	-	SAMEA116299549	LV6000912183	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE069-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE069-1A_S88_L002_R1_001.fastq.gz	7f4e388b6ddd53385ecbb49d1851f0f9	YF-4364-RE069-1A_S88_L002_R2_001.fastq.gz	ed7f69af42ac23d2dcb781885ed54295								
SCILIFELAB	Troglophilus ovuliformis	iqTroOvul1	-	SAMEA115873891	ERGA_NT_0292_00001	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YK-4511-CNAG-BGE-214-4447AK	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YK-4511-CNAG-BGE-214-4447AK_S45_L001_R1_001.fastq.gz	cf9faa5d09187bd96daf33110e461338	YK-4511-CNAG-BGE-214-4447AK_S45_L001_R2_001.fastq.gz	40f621bf1f100bda8e179f2e5f2d998c								
SCILIFELAB	Troglophilus ovuliformis	iqTroOvul1	-	SAMEA115873891	ERGA_NT_0292_00001	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YK-4511-CNAG-BGE-214-4447AK	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YK-4511-CNAG-BGE-214-4447AK_S90_L002_R1_001.fastq.gz	3ba390354a01a7ff6b9e884ec28ed4a6	YK-4511-CNAG-BGE-214-4447AK_S90_L002_R2_001.fastq.gz	a78b5d48bf15958d2702e78516182c5c								
