Sample_Key	MD5_R1	File_R1	MD5_R2	File_R2
YF-4364-RE028-1A_S3_L001	90df0cd62d392008e0d92986b6f1bfed	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE028-1A	YF-4364-RE028-1A_S3_L001_R1_001.fastq.gz	55996089a8080abaf51967e727d37e83	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE028-1A	YF-4364-RE028-1A_S3_L001_R2_001.fastq.gz
YF-4364-RE054-2A_S29_L001	d1aed9d7a2bf4f4f4249affa4adf53ea	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE054-2A	YF-4364-RE054-2A_S29_L001_R1_001.fastq.gz	f8c15aef94bf06988dda868d6735d38a	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE054-2A	YF-4364-RE054-2A_S29_L001_R2_001.fastq.gz
YF-4364-RE051-1A_S71_L002	e282930a07bc4c46818f753a0b5aa80c	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE051-1A_1	YF-4364-RE051-1A_S71_L002_R1_001.fastq.gz	aa7169961fe9276ad8777ce46f80a822	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE051-1A_1	YF-4364-RE051-1A_S71_L002_R2_001.fastq.gz
YF-4364-RE053-1A_S28_L001	23a38721caa307cab220281738eeabc4	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE053-1A	YF-4364-RE053-1A_S28_L001_R1_001.fastq.gz	785ce275bd7fd4ef4dfd96a9f097f80d	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE053-1A	YF-4364-RE053-1A_S28_L001_R2_001.fastq.gz
YF-4364-RE049-1A_S24_L001	1de64383ac95928964c796847c0221f7	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE049-1A	YF-4364-RE049-1A_S24_L001_R1_001.fastq.gz	1682b230215ee9883d0520c401712789	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE049-1A	YF-4364-RE049-1A_S24_L001_R2_001.fastq.gz
YF-4364-RE059-1A_S34_L001	59fc0967c1486f5a101f9d344d5be97f	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE059-1A	YF-4364-RE059-1A_S34_L001_R1_001.fastq.gz	76e8a92d6fe0d527d15b5f06a4ceb633	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE059-1A	YF-4364-RE059-1A_S34_L001_R2_001.fastq.gz
YF-4364-RE046-1A_S66_L002	cb79fc3c395b6c47fa7d424e746fdc55	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE046-1A_1	YF-4364-RE046-1A_S66_L002_R1_001.fastq.gz	613e1dc8f4f7b60bca5ae4ac954cfe7a	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE046-1A_1	YF-4364-RE046-1A_S66_L002_R2_001.fastq.gz
YF-4364-RE036-1A_S11_L001	f6fbde33170a44ba169596404e50261b	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE036-1A	YF-4364-RE036-1A_S11_L001_R1_001.fastq.gz	454c79f57941c23d08644df5d0b90fa8	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE036-1A	YF-4364-RE036-1A_S11_L001_R2_001.fastq.gz
YF-4364-RE042-1A2-4-pool_S62_L002	b4f20e0827387172cbf072fe35faa070	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE042-1A2-4-pool_1	YF-4364-RE042-1A2-4-pool_S62_L002_R1_001.fastq.gz	135256b718192f25c31df41f7a83a308	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE042-1A2-4-pool_1	YF-4364-RE042-1A2-4-pool_S62_L002_R2_001.fastq.gz
YF-4364-RE039-1A_S14_L001	fc8c0119ed19f85424592b35a9a4dabc	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE039-1A	YF-4364-RE039-1A_S14_L001_R1_001.fastq.gz	3a51e341c952108b554e5806d507746f	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE039-1A	YF-4364-RE039-1A_S14_L001_R2_001.fastq.gz
YF-4364-RE045-1A_S65_L002	5a98d3a1a66d06cb0c9500d0caebe6ff	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE045-1A_1	YF-4364-RE045-1A_S65_L002_R1_001.fastq.gz	6406d61978dc7c660b83994dc2f2d1ce	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE045-1A_1	YF-4364-RE045-1A_S65_L002_R2_001.fastq.gz
YF-4364-RE031-1A_S51_L002	9146ffecea5e881ab19e0807388f6fd3	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE031-1A_1	YF-4364-RE031-1A_S51_L002_R1_001.fastq.gz	d755335c34945e94e95abcd9e78fad48	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE031-1A_1	YF-4364-RE031-1A_S51_L002_R2_001.fastq.gz
YF-4364-RE069-1A_S88_L002	7f4e388b6ddd53385ecbb49d1851f0f9	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE069-1A_1	YF-4364-RE069-1A_S88_L002_R1_001.fastq.gz	ed7f69af42ac23d2dcb781885ed54295	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE069-1A_1	YF-4364-RE069-1A_S88_L002_R2_001.fastq.gz
YF-4364-RE047-1A_S67_L002	b2bc62d370b1aedc0885d96ef1fbf789	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE047-1A_1	YF-4364-RE047-1A_S67_L002_R1_001.fastq.gz	26312474af37b71ec1c683a97beb021a	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE047-1A_1	YF-4364-RE047-1A_S67_L002_R2_001.fastq.gz
YF-4364-RE052-1A_S72_L002	fd157e9e7d3a31c06e9d484127bed0d2	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE052-1A_1	YF-4364-RE052-1A_S72_L002_R1_001.fastq.gz	be5d7ca24e1b3bb5e1166a465dd4efc3	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE052-1A_1	YF-4364-RE052-1A_S72_L002_R2_001.fastq.gz
YF-4364-RE029-1A_S49_L002	78e62b401c6022d87fcdc0fef90c0921	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE029-1A_1	YF-4364-RE029-1A_S49_L002_R1_001.fastq.gz	5588f38318416127351346f2504334ec	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE029-1A_1	YF-4364-RE029-1A_S49_L002_R2_001.fastq.gz
YF-4364-RE056-1A_S76_L002	12faa4c76b69c8a18c4c043ec68efd83	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE056-1A_1	YF-4364-RE056-1A_S76_L002_R1_001.fastq.gz	dc06ddaf2a9f2cd42471da62a7453b0a	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE056-1A_1	YF-4364-RE056-1A_S76_L002_R2_001.fastq.gz
YF-4364-RE040-1A_S15_L001	b8a4ec439e33c4d14a8b4a3f3bdd5816	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE040-1A	YF-4364-RE040-1A_S15_L001_R1_001.fastq.gz	c594c24a58c224d266e606bbed132044	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE040-1A	YF-4364-RE040-1A_S15_L001_R2_001.fastq.gz
YF-4364-RE060-1A_S80_L002	24cfbcdfecb66df2004a25c556fa3510	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE060-1A_1	YF-4364-RE060-1A_S80_L002_R1_001.fastq.gz	38e3e97e2271a4331d03ca5c4c268c3f	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE060-1A_1	YF-4364-RE060-1A_S80_L002_R2_001.fastq.gz
