center	scientific_name	tolid	common_names	biosample_accession	sample_tube_or_well_id	sample_coordinator	recipe	aim	locus_tag	alt_assembly	alt_annotation	instrument	library_selection	library_strategy	library_name	exp_attr	lib_attr	insert_size	yield	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	native_file_name	native_file_md5	file_name	file_md5				
SCILIFELAB	Triaenophorus nodulosus	heTriNodu1	-	SAMEA115098052	TnoduSample004	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE026-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE026-1A_S1_L001_R1_001.fastq.gz	3b0517984a40cc44f395ad6c13840f29	YF-4364-RE026-1A_S1_L001_R2_001.fastq.gz	6ad8251a87bbed98665f5d1641434740								
SCILIFELAB	Triaenophorus nodulosus	heTriNodu1	-	SAMEA115098052	TnoduSample004	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE026-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE026-1A_S46_L002_R1_001.fastq.gz	2fedd987cf7b434cc59a8de4d9046b7c	YF-4364-RE026-1A_S46_L002_R2_001.fastq.gz	1391d9f08b387fd49185fedf36f13105								
SCILIFELAB	Cryptotrichosporon brontae	gfCryBron1	-	SAMEA115084251	DSM_104551_18__DSM_104551_19__DSM_104551_20__DSM_104551_21	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE027-1A1-2-pool	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE027-1A1-2-pool_S2_L001_R1_001.fastq.gz	dea28401943d65f434c65bf35ed8ab34	YF-4364-RE027-1A1-2-pool_S2_L001_R2_001.fastq.gz	5aa288f8c6167ce771071175b3e822a6								
SCILIFELAB	Cryptotrichosporon brontae	gfCryBron1	-	SAMEA115084251	DSM_104551_18__DSM_104551_19__DSM_104551_20__DSM_104551_21	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE027-1A1-2-pool	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE027-1A1-2-pool_S47_L002_R1_001.fastq.gz	85b8fd624a9046a48bf5bbd8c3ee8207	YF-4364-RE027-1A1-2-pool_S47_L002_R2_001.fastq.gz	8653578316a6448709665aad08df6aa2								
SCILIFELAB	Niphargus gammariformis	qmNipGamm12	-	SAMEA115536143	DE105_012	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE028-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE028-1A_S3_L001_R1_001.fastq.gz	90df0cd62d392008e0d92986b6f1bfed	YF-4364-RE028-1A_S3_L001_R2_001.fastq.gz	55996089a8080abaf51967e727d37e83								
SCILIFELAB	Niphargus gammariformis	qmNipGamm12	-	SAMEA115536143	DE105_012	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE028-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE028-1A_S48_L002_R1_001.fastq.gz	8885f53269b473ea7bbe7355cebd323c	YF-4364-RE028-1A_S48_L002_R2_001.fastq.gz	e9cccde862d36bec37007751acc7e429								
SCILIFELAB	Clavelina lepadiformis	kaClaLepa17	-	SAMEA115782299	FS42549324	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE029-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE029-1A_S4_L001_R1_001.fastq.gz	3f2be2bffdc65e1870bd16f371ad0c16	YF-4364-RE029-1A_S4_L001_R2_001.fastq.gz	8d53f8596c63e20cc9cba374399cdf24								
SCILIFELAB	Clavelina lepadiformis	kaClaLepa17	-	SAMEA115782299	FS42549324	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE029-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE029-1A_S49_L002_R1_001.fastq.gz	78e62b401c6022d87fcdc0fef90c0921	YF-4364-RE029-1A_S49_L002_R2_001.fastq.gz	5588f38318416127351346f2504334ec								
SCILIFELAB	Microcosmus squamiger	kaMicSqua1	-	SAMEA115782290	FS42549335	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE030-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE030-1A_S5_L001_R1_001.fastq.gz	22ceeb42f085facd08de7686b3b42f38	YF-4364-RE030-1A_S5_L001_R2_001.fastq.gz	eee849c3db6c2e8212451b49e75dc128								
SCILIFELAB	Microcosmus squamiger	kaMicSqua1	-	SAMEA115782290	FS42549335	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE030-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE030-1A_S50_L002_R1_001.fastq.gz	50bd1877e05b53cb1a7855f2ec352fe9	YF-4364-RE030-1A_S50_L002_R2_001.fastq.gz	c19b94b064d33a1c392e0f49cc17e34b								
