center	scientific_name	tolid	common_names	biosample_accession	sample_tube_or_well_id	sample_coordinator	recipe	aim	locus_tag	alt_assembly	alt_annotation	instrument	library_selection	library_strategy	library_name	exp_attr	lib_attr	insert_size	yield	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
SCILIFELAB	Agrilus gianassoi	icAgrGian1		SAMEA116289315	LV6000912588	-	-	assembly	-	no	no	Illumina NovaSeq X	PCR	Hi-C	HC060-1A1A-CL	-	LIBRARY_CONSTRUCTION_PROTOCOL:Hi-C library was created as described in the Arima User Guide for Animal Tissues (A160162 v01) and Library Preparation for Arima High Coverage HiC Kit (A160186 v02). Library QC was performed using the Qubit dsDNA HS Assay kit and the Agilent High Sensitivity DNA Kit.	650	-	icAgrGian_YH-4400-HC060-1A1A-CL_S1355_L008_R1_001.fastq.gz	906f4635b439a1dcfe98780b10e7ac14	icAgrGian_YH-4400-HC060-1A1A-CL_S1355_L008_R2_001.fastq.gz	5c55c6b42b41955afc71fd2d8b5b97f1
SCILIFELAB	Eumannia arenbergeri	ilEumAren7		SAMEA116299553	LV6000912151	-	-	assembly	-	no	no	Illumina NovaSeq X	PCR	Hi-C	HC062-1A1A-CL	-	LIBRARY_CONSTRUCTION_PROTOCOL:Hi-C library was created as described in the Arima User Guide for Animal Tissues (A160162 v01) and Library Preparation for Arima High Coverage HiC Kit (A160186 v02). Library QC was performed using the Qubit dsDNA HS Assay kit and the Agilent High Sensitivity DNA Kit.	650	-	ilEumAren_YH-4400-HC062-1A1A-CL_S1357_L008_R1_001.fastq.gz	ded6b64700be4ed539f77016d430c8f8	ilEumAren_YH-4400-HC062-1A1A-CL_S1357_L008_R2_001.fastq.gz	576c39e150e1fb453118606ccbec473b
SCILIFELAB	Maniola cypricola	ilManCypr2		SAMEA116289213	LV6000912698	-	-	assembly	-	no	no	Illumina NovaSeq X	PCR	Hi-C	HC063-1A1A-CL	-	LIBRARY_CONSTRUCTION_PROTOCOL:Hi-C library was created as described in the Arima User Guide for Animal Tissues (A160162 v01) and Library Preparation for Arima High Coverage HiC Kit (A160186 v02). Library QC was performed using the Qubit dsDNA HS Assay kit and the Agilent High Sensitivity DNA Kit.	660	-	ilManCypr_YH-4400-HC063-1A1A-CL_S1358_L008_R1_001.fastq.gz	b54432994b4669afb909ef251d807e7e	ilManCypr_YH-4400-HC063-1A1A-CL_S1358_L008_R2_001.fastq.gz	26d7f435989838be9c8abbca88a8a27e
