FileType	fastq													
study	sample	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	platform	instrument_model	library_name	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
PRJEB108304	LEO-2-29-2-bud-1	LEO-2-29-2-bud-1_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-bud-1_RNAseq	/UF-3013-LEO-2-29-2-bud-1_S13_L003_R1_001.fastq.gz	5d208e472aaa660d871cd48583353392	/UF-3013-LEO-2-29-2-bud-1_S13_L003_R2_001.fastq.gz	bad1cc0001d8d63e5dfa1c46c7065c1f
PRJEB108304	LEO-2-29-2-bud-2	LEO-2-29-2-bud-2_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-bud-2_RNAseq	/UF-3013-LEO-2-29-2-bud-2_S14_L003_R1_001.fastq.gz	edcd243373954dd2cfb373645d80363e	/UF-3013-LEO-2-29-2-bud-2_S14_L003_R2_001.fastq.gz	25dd333905272d78f5b08652c949b10d
PRJEB108304	LEO-2-29-2-flower-1	LEO-2-29-2-flower-1_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-flower-1_RNAseq	/UF-3013-LEO-2-29-2-flower-1_S15_L003_R1_001.fastq.gz	172fdec9da4581abcc59b5f69a568e21	/UF-3013-LEO-2-29-2-flower-1_S15_L003_R2_001.fastq.gz	6fba986fb5eb7979df84cb1736a08e8a
PRJEB108304	LEO-2-29-2-flower-2	LEO-2-29-2-flower-2_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-flower-2_RNAseq	/UF-3013-LEO-2-29-2-flower-2_S16_L003_R1_001.fastq.gz	df66868efb70a38bcfb025ec126dd912	/UF-3013-LEO-2-29-2-flower-2_S16_L003_R2_001.fastq.gz	171f0474c766b1106d5cc9e1f785cc8c
PRJEB108304	LEO-2-29-2-leaf-1	LEO-2-29-2-leaf-1_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-leaf-1_RNAseq	/UF-3013-LEO-2-29-2-leaf-1_S9_L003_R1_001.fastq.gz	35e8b8ce2be01e5794302a46b5def9be	/UF-3013-LEO-2-29-2-leaf-1_S9_L003_R2_001.fastq.gz	9d73113ec06c367806a2fcb7d86fde40
PRJEB108304	LEO-2-29-2-leaf-2	LEO-2-29-2-leaf-2_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-leaf-2_RNAseq	/UF-3013-LEO-2-29-2-leaf-2_S10_L003_R1_001.fastq.gz	f333e5940c0c34ff5778680c08b23280	/UF-3013-LEO-2-29-2-leaf-2_S10_L003_R2_001.fastq.gz	6c10e198d7e747f37406e28f8ce9e911
PRJEB108304	LEO-2-29-2-stem-1	LEO-2-29-2-stem-1_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-stem-1_RNAseq	/UF-3013-LEO-2-29-2-stem-1_S11_L003_R1_001.fastq.gz	b6d0a1bac9606187d84580ea40af2db1	/UF-3013-LEO-2-29-2-stem-1_S11_L003_R2_001.fastq.gz	8f22a1639b6067d7fd0a7f6eecb6df08
PRJEB108304	LEO-2-29-2-stem-2	LEO-2-29-2-stem-2_RNAseq	RNA-Seq	TRANSCRIPTOMIC	size fractionation	PAIRED	150	ILLUMINA	Illumina NovaSeq 6000	LEO-2-29-2-stem-2_RNAseq	/UF-3013-LEO-2-29-2-stem-2_S12_L003_R1_001.fastq.gz	5eaf466c80c965f538a5b5b088ad7fea	/UF-3013-LEO-2-29-2-stem-2_S12_L003_R2_001.fastq.gz	43e6b8ba9a8cb6027116ac2d305fab9a
