center	scientific_name	tolid	common_names	biosample_accession	sample_tube_or_well_id	sample_coordinator	recipe	aim	locus_tag	alt_assembly	alt_annotation	instrument	library_selection	library_strategy	library_name	exp_attr	lib_attr	insert_size	yield	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	native_file_name	native_file_md5	file_name	file_md5
SCILIFELAB	Austropotamobius torrentium	qmAusTorr	stone crayfish	SAMEA112878228	FS42595242_FS42595243	-	-	assembly	-	no	no	Revio	size fractionation	WGS	pr_047d_001	-	LIBRARY_CONSTRUCTION_PROTOCOL:Preparing HiFi SMRTbell® Libraries using the SMRTbell Express Template Prep Kit 3.0		-					/bge-austropotamobius-torrentium/m84045_241108_111648_s1.hifi_reads.bc2164.bam	a67e0105a0247b43861752e13b759c83		
SCILIFELAB	Austropotamobius torrentium	qmAusTorr	stone crayfish	SAMEA112878228	FS42595242_FS42595243	-	-	assembly	-	no	no	Revio	size fractionation	WGS	pr_047d_001	-	LIBRARY_CONSTRUCTION_PROTOCOL:Preparing HiFi SMRTbell® Libraries using the SMRTbell Express Template Prep Kit 3.0		-					/bge-austropotamobius-torrentium/m84045_241112_143045_s1.hifi_reads.bc2164.bam	aba42920281e1d490b8f402df59bd5de		
SCILIFELAB	Austropotamobius torrentium	qmAusTorr	stone crayfish	SAMEA112878228	FS42595242_FS42595243	-	-	assembly	-	no	no	Revio	size fractionation	WGS	pr_047d_001	-	LIBRARY_CONSTRUCTION_PROTOCOL:Preparing HiFi SMRTbell® Libraries using the SMRTbell Express Template Prep Kit 3.0		-					/bge-austropotamobius-torrentium/m84045_241112_162951_s2.hifi_reads.bc2164.bam	5932cb890e0a2cf1c75903cff4f314a9		
SCILIFELAB	Austropotamobius torrentium	qmAusTorr	stone crayfish	SAMEA112878228	FS42595242_FS42595243	-	-	assembly	-	no	no	Revio	size fractionation	WGS	pr_047d_001	-	LIBRARY_CONSTRUCTION_PROTOCOL:Preparing HiFi SMRTbell® Libraries using the SMRTbell Express Template Prep Kit 3.0		-					/bge-austropotamobius-torrentium/m84045_241112_182909_s3.hifi_reads.bc2164.bam	898710c7e75e6bd4db0abfb73a800317		
