proposed_name	name_type	host	project_id	description
Wolbachia endosymbiont of Halictus nicosiae	Unidentified Species	Halictus nicosiae	PRJEB96354	Hertig, M. "The rickettsia, Wolbachia pipientis (gen. et sp. n.) and associated inclusions of the mosquito, Culex pipiens." Parasitol. (1936) 28:453-486.
Spiroplasma endosymbiont of Halictus nicosiae	Unidentified Species	Halictus nicosiae	PRJEB96354	Saglio, P., L'hospital, M., Lafleche, D., Dupont, G., Bove, J.M., Tully, J.G., and Freundt, E.A. "Spiroplasma citri gen. and sp. n.: a mycoplama-like organism associated with 'stubborn' disease of citrus." Int. J. Syst. Bacteriol. (1973) 23:191-204.
