Checklist	ERC000053	Tree of Life Checklist																							
tax_id	scientific_name	sample_alias	sample_title	sample_description	organism part	lifestage	project name	collected_by	collection date	geographic location (country and/or sea)	geographic location (region and locality)	habitat	sex	collecting institution	geographic location (latitude)	geographic location (longitude)	identified_by	identifier_affiliation	sample symbiont of	sample coordinator	sample coordinator affiliation	symbiont	GAL	specimen_id	GAL_sample_id
#units															DD	DD									
3109628	Wolbachia endosymbiont of Stylops ater	w1-StyAte	Wolbachia 1 Stylops ater	Wolbachia endosymbiont of Stylops ater	**OTHER SOMATIC ANIMAL TISSUE**	not collected	ERGA	Meri Lähteenaro | Mattias Forshage | Rasmus Hovmöller | Johannes Bergsten	2021-03-23	Sweden	Södermanland (landskap), Stockholms län | Botkyrka kommun, Grödinge distrikt | 250 m SW of Lida Friluftsgård | south-facing slope towards lake Getaren	Locality is a ground-colony of Andrena vaga at a pedestrian road-cutting in south facing slope towards lake.	NOT COLLECTED	Swedish Museum of Natural History	59.161	17.8766	Meri Lähteenaro | Johannes Bergsten	Swedish Museum of Natural History	SAMEA12922144	Johannes Bergsten	Swedish Museum of Natural History	Y	SciLifeLab	ERGA JB SE 01	NOT PROVIDED
3109628	Wolbachia endosymbiont of Stylops ater	w2-StyAte	Wolbachia 2 Stylops ater	Wolbachia endosymbiont of Stylops ater	**OTHER SOMATIC ANIMAL TISSUE**	not collected	ERGA	Meri Lähteenaro | Mattias Forshage | Rasmus Hovmöller | Johannes Bergsten	2021-03-23	Sweden	Södermanland (landskap), Stockholms län | Botkyrka kommun, Grödinge distrikt | 250 m SW of Lida Friluftsgård | south-facing slope towards lake Getaren	Locality is a ground-colony of Andrena vaga at a pedestrian road-cutting in south facing slope towards lake.	NOT COLLECTED	Swedish Museum of Natural History	59.161	17.8766	Meri Lähteenaro | Johannes Bergsten	Swedish Museum of Natural History	SAMEA12922144	Johannes Bergsten	Swedish Museum of Natural History	Y	SciLifeLab	ERGA JB SE 01	NOT PROVIDED
