study	sample	design_description	library_name	library_strategy	library_source	library_selection	library_layout	insert_size	library_construction_protocol	platform	instrument_model	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5									
PRJEB107427	JN2	Scaffolding of genome assembly	P33710_101	OTHER	GENOMIC	Restriction Digest	PAIRED	150	Omni-C, sequence-independent endonuclease-based Dovetail proximity-ligation protocol	ILLUMINA	Illumina NovaSeq X	/P33710_104_S26_L002_R1_001.fastq.gz	d5eb7497f5c56e314802e8ab32e3e2ea	/P33710_104_S26_L002_R2_001.fastq.gz	5c39bb49f1bf3c2af07f56218a40791f									
PRJEB107427	OX	Scaffolding of genome assembly	P33710_104	OTHER	GENOMIC	Restriction Digest	PAIRED	150	Omni-C, sequence-independent endonuclease-based Dovetail proximity-ligation protocol	ILLUMINA	Illumina NovaSeq X	/P33710_101_S25_L002_R1_001.fastq.gz	b73e27c148ea5933cabcdacb6d65ed79	/P33710_101_S25_L002_R2_001.fastq.gz	407bcb2d7eef52318b653f0341f63943									
